Label,Generation,PR AUC,Lineage,Beats Baseline?,Baseline PR AUC,Dataset
Elastic_L70_C10 + Cluster Centroids_G37,37,0.104,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G37,37,0.1,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G37,37,0.057,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G38,38,0.11,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G38,38,0.102,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G38,38,0.11,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G38,38,0.104,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G38,38,0.103,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G38,38,0.104,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G39,39,0.102,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G39,39,0.102,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G39,39,0.085,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G39,39,0.103,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G39,39,0.057,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G39,39,0.057,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G40,40,0.085,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G40,40,0.087,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G40,40,0.057,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G40,40,0.083,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G40,40,0.102,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G40,40,0.11,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G41,41,0.085,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G41,41,0.104,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G41,41,0.095,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G41,41,0.103,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G41,41,0.099,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G41,41,0.059,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G42,42,0.102,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G42,42,0.085,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G42,42,0.11,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G42,42,0.101,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G42,42,0.11,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G42,42,0.11,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G43,43,0.085,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G43,43,0.101,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G43,43,0.087,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G43,43,0.11,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G43,43,0.085,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G43,43,0.085,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G44,44,0.103,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G44,44,0.104,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G44,44,0.057,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G44,44,0.101,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G44,44,0.103,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G44,44,0.076,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G45,45,0.089,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G45,45,0.103,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G45,45,0.108,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G45,45,0.103,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G45,45,0.092,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G45,45,0.085,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G46,46,0.057,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G46,46,0.087,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G46,46,0.102,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G46,46,0.11,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G46,46,0.11,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G46,46,0.099,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G47,47,0.092,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G47,47,0.108,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G47,47,0.089,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G47,47,0.102,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G47,47,0.108,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G47,47,0.057,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G48,48,0.092,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G48,48,0.102,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G48,48,0.087,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G48,48,0.089,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G48,48,0.102,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G48,48,0.057,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G49,49,0.083,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G49,49,0.11,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G49,49,0.095,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G49,49,0.104,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G49,49,0.11,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G49,49,0.103,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G50,50,0.057,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G50,50,0.089,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G50,50,0.101,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G50,50,0.11,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G50,50,0.101,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Cluster Centroids_G50,50,0.092,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.026,noisy_overlap_w2_n20_d0.csv
Elastic_L70_C10 + Manual Upsampling_G0,0,0.025,origin of Elastic_L70_C10 + Manual Upsampling,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + SMOTE_G0,0,0.026,origin of Elastic_L70_C10 + SMOTE,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + ADASYN_G0,0,0.029,origin of Elastic_L70_C10 + ADASYN,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Borderline SMOTE_G0,0,0.021,origin of Elastic_L70_C10 + Borderline SMOTE,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + SMOTETomek_G0,0,0.026,origin of Elastic_L70_C10 + SMOTETomek,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + SMOTEENN_G0,0,0.027,origin of Elastic_L70_C10 + SMOTEENN,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Random Undersample_G0,0,0.015,origin of Elastic_L70_C10 + Random Undersample,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G0,0,0.505,origin of Elastic_L70_C10 + Cluster Centroids,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + No Resampling_G0,0,0.015,origin of Elastic_L70_C10 + No Resampling,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Manual Upsampling_G0,0,0.027,origin of Elastic_L70_C10 + Manual Upsampling,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + SMOTE_G0,0,0.026,origin of Elastic_L70_C10 + SMOTE,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + ADASYN_G0,0,0.027,origin of Elastic_L70_C10 + ADASYN,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Borderline SMOTE_G0,0,0.021,origin of Elastic_L70_C10 + Borderline SMOTE,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + SMOTETomek_G0,0,0.026,origin of Elastic_L70_C10 + SMOTETomek,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + SMOTEENN_G0,0,0.026,origin of Elastic_L70_C10 + SMOTEENN,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Random Undersample_G0,0,0.015,origin of Elastic_L70_C10 + Random Undersample,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G0,0,0.505,origin of Elastic_L70_C10 + Cluster Centroids,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + No Resampling_G0,0,0.027,origin of Elastic_L70_C10 + No Resampling,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Manual Upsampling_G0,0,0.025,origin of Elastic_L70_C10 + Manual Upsampling,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + SMOTE_G0,0,0.027,origin of Elastic_L70_C10 + SMOTE,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + ADASYN_G0,0,0.029,origin of Elastic_L70_C10 + ADASYN,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Borderline SMOTE_G0,0,0.021,origin of Elastic_L70_C10 + Borderline SMOTE,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + SMOTETomek_G0,0,0.027,origin of Elastic_L70_C10 + SMOTETomek,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + SMOTEENN_G0,0,0.027,origin of Elastic_L70_C10 + SMOTEENN,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Random Undersample_G0,0,0.015,origin of Elastic_L70_C10 + Random Undersample,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G0,0,0.505,origin of Elastic_L70_C10 + Cluster Centroids,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + No Resampling_G0,0,0.013,origin of Elastic_L70_C10 + No Resampling,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G1,1,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G1,1,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G1,1,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G1,1,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G1,1,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G1,1,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G2,2,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G2,2,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G2,2,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G2,2,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G2,2,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G2,2,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G3,3,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G3,3,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G3,3,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G3,3,0.073,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G3,3,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G3,3,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G4,4,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G4,4,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G4,4,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G4,4,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G4,4,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G4,4,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G5,5,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G5,5,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G5,5,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G5,5,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G5,5,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G5,5,0.073,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G6,6,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G6,6,0.073,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G6,6,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G6,6,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G6,6,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G6,6,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G7,7,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G7,7,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G7,7,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G7,7,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G7,7,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G7,7,0.073,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G8,8,0.073,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G8,8,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G8,8,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G8,8,0.073,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G8,8,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G8,8,0.073,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G9,9,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G9,9,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G9,9,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
Elastic_L70_C10 + Cluster Centroids_G9,9,0.505,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.011,imbalanced_sparse_w0_n10_d10.csv
