Scheme Code,Scheme_Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,NAV,Repurchase Price,Sale Price,Date,Rolling_Volatility
,Franklin India Fixed Maturity Plans - Series 1 - Plan A (1108 days) - Growth,,,0.0,,,2020-04-09,
,UTI Capital Protection Oriented Scheme Series VIII-III (1281 Days) - Direct Plan - Dividend Option,,,10.0001,,,2020-04-13,
,UTI Capital Protection Oriented Scheme Series VIII-III (1281Days) - Direct Plan - Growth Option,,,12.1072,,,2020-04-13,
,UTI Capital Protection Oriented Scheme Series VIII-III (1281 Days) - Regular Plan - Growth Option,,,11.5592,,,2020-04-13,
,UTI Capital Protection Oriented Scheme Series VIII-III (1281 Days) - Regular Plan - Dividend Option,,,10.0002,,,2020-04-13,
,ICICI Prudential Capital Protection Oriented Fund - Series X - 1375 Days Plan B Dividend Plan,,,11.9561,,,2020-04-15,
,ICICI Prudential Capital Protection Oriented Fund - Series X - 1375 Days Plan B Cumulative Plan,,,12.0112,,,2020-04-15,
,ICICI Prudential Capital Protection Oriented Fund - Series X - 1375 Days Plan B Direct Plan Cumulative Plan,,,12.5474,,,2020-04-15,
,ICICI Prudential Capital Protection Oriented Fund - Series X - 1375 Days Plan B Direct Plan Dividend Option,,,12.4908,,,2020-04-15,
,UTI FTIF Series XXVI-II (1176 Days)- Direct Plan - Annual Div Option,,,10.0,,,2020-04-21,
,UTI FTIF Series XXVI-II (1176 Days)- Direct Plan - Flexi Div Option,,,10.0,,,2020-04-21,
,UTI FTIF Series XXVI-II (1176 Days)- Regular Plan - Maturity Div Option,,,10.0,,,2020-04-21,
,UTI FTIF Series XXVI-II (1176 Days)- Direct Plan - Maturity Div Option,,,10.0,,,2020-04-21,
,UTI FTIF Series XXVI-II (1176 Days)- Direct Plan - Quarterly Div Option,,,10.0,,,2020-04-21,
,UTI FTIF Series XXVI-II (1176 Days)- Regular Plan - Annual Div Option,,,10.0,,,2020-04-21,
,UTI FTIF Series XXVI-II (1176 Days)- Regular Plan - Flexi Div Option,,,10.0,,,2020-04-21,
,UTI FTIF Series XXVI-II (1176 Days)- Regular Plan - Growth Option,,,12.3599,,,2020-04-21,
,UTI FTIF Series XXVI-II (1176 Days)- Regular Plan - Quarterly Div Option,,,10.0,,,2020-04-21,
,UTI FTIF Series XXVI-II (1176 Days)- Direct Plan - Growth Option,,,12.4847,,,2020-04-21,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1248 Days Plan D - Cumulative Option,,,12.8732,,,2020-04-22,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1248 Days Plan D - Direct Plan - Cumulative Option,,,12.9699,,,2020-04-22,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1248 Days Plan D - Dividend Option,,,12.8732,,,2020-04-22,
,ICICI Prudential Corporate Bond Fund Retail Weekly Dividend,,,10.2202,,,2020-04-24,
,ICICI Prudential Corporate Bond Fund Retail Monthly Dividend,,,10.3008,,,2020-04-24,
,ICICI Prudential Corporate Bond Fund Retail Growth,,,22.7853,,,2020-04-24,
,ICICI Prudential Smallcap Fund - Institutional Growth,,,18.65,,,2020-04-24,
,ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend,,,10.3041,,,2020-04-24,
,ICICI Prudential Corporate Bond Fund Retail Daily Dividend,,,10.0275,,,2020-04-24,
,ICICI Prudential Bluechip Fund - Institutional Option - I - Growth,,,37.59,,,2020-04-24,
,ICICI Prudential Corporate Bond Fund - Bonus,,,14.9782,,,2020-04-24,
,ICICI Prudential Banking and PSU Debt Fund Retail Growth,,,21.631,,,2020-04-24,
,ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,,,10.0122,,,2020-04-24,
,ICICI Prudential Short Term Fund-Institutional Plan-Dividend Fortnightly,,,12.8807,,,2020-04-24,
,ICICI Prudential Short Term Fund-Institutional Growth,,,43.8071,,,2020-04-24,
,ICICI Prudential Short Term Fund - Bonus,,,42.3355,,,2020-04-24,
,ICICI Prudential Credit Risk Fund - Bonus,,,15.7498,,,2020-04-24,
,ICICI Prudential Ultra Short Term Fund - Direct Plan Bonus,,,16.0996,,,2020-04-24,
,ICICI Prudential Corporate Bond Fund - Premium Daily Dividend,,,10.0277,,,2020-04-24,
,ICICI Prudential Banking and PSU Debt Fund - Bonus,,,15.8889,,,2020-04-24,
,ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend,,,10.9335,,,2020-04-24,
,ICICI Prudential Savings Fund - Bonus,,,154.9446,,,2020-04-24,
,ICICI Prudential All Seasons Bond Fund - Premium Growth Option,,,25.7538,,,2020-04-24,
,ICICI Prudential Medium Term Bond Fund - Direct Plan Bonus,,,16.1701,,,2020-04-24,
,ICICI Prudential Savings Fund Retail Daily Dividend,,,100.1193,,,2020-04-24,
,ICICI Prudential All Seasons Bond Fund - Direct Plan Bonus,,,17.8505,,,2020-04-24,
,ICICI Prudential Regular Savings Fund - Direct Plan - Bonus,,,46.3924,,,2020-04-24,
,ICICI Prudential Equity - Arbitrage Fund-Institutional Growth Option,,,26.3343,,,2020-04-24,
,ICICI Prudential Multi-Asset Fund- Institutional Growth Option,,,22.849,,,2020-04-24,
,ICICI Prudential Equity Arbitrage Fund - Direct Plan Bonus,,,14.7363,,,2020-04-24,
,ICICI Prudential Long Term Bond Fund-Institutional Option-Growth,,,73.5439,,,2020-04-24,
,ICICI Prudential All Seasons Bond Fund - Bonus,,,17.0248,,,2020-04-24,
,ICICI Prudential Liquid Fund - Institutional Option - I,,,275.6151,,,2020-04-24,
,ICICI Prudential Long Term Bond Fund - Institutional Dividend Halfyearly,,,10.8508,,,2020-04-24,
,ICICI Prudential Gilt Fund - Direct Plan Bonus,,,18.0717,,,2020-04-24,
,ICICI Prudential Long Term Bond Fund - Bonus,,,68.2598,,,2020-04-24,
,ICICI Prudential Floating Interest Fund - Bonus,,,151.7062,,,2020-04-24,
,ICICI Prudential Bond Fund- Institutional Growth,,,25.0654,,,2020-04-24,
,ICICI Prudential Bond Fund- Institutional Monthly Dividend,,,10.6444,,,2020-04-24,
,ICICI Prudential Bond Fund- Institutional Quarterly Dividend,,,11.4294,,,2020-04-24,
,ICICI Prudential Floating Interest Fund Plan A - Dividend Daily,,,100.0251,,,2020-04-24,
,ICICI Prudential Floating Interest Fund Plan A - Fortnightly Dividend,,,101.3988,,,2020-04-24,
,ICICI Prudential Liquid Institutional Plus Fund - Div - Daily,,,118.5152,,,2020-04-24,
,ICICI Prudential Medium Term Bond Fund-Plan B-Growth,,,32.0584,,,2020-04-24,
,ICICI Prudential Long Term Bond Fund-Institutional Quarterly Dividend,,,11.7562,,,2020-04-24,
,ICICI Prudential Liquid Fund - Institutional - Daily - Div,,,118.5022,,,2020-04-24,
,ICICI Prudential Liquid Fund Retail Daily Dividend,,,118.5142,,,2020-04-24,
,ICICI Prudential Floating Interest Fund Plan A - Growth,,,300.7518,,,2020-04-24,
,ICICI Prudential Liquid Institutional Fund - Growth,,,462.33,,,2020-04-24,
,ICICI Prudential Liquid Fund Retail Weekly Dividend,,,118.9171,,,2020-04-24,
,ICICI Prudential Liquid Fund Retail Monthly Dividend,,,100.5372,,,2020-04-24,
,ICICI Prudential Liquid Fund Retail Growth,,,450.7797,,,2020-04-24,
,ICICI Prudential Floating Interest Fund Plan C - Fortnightly Dividend,,,101.3966,,,2020-04-24,
,ICICI Prudential Floating Interest Fund Plan B - Weekly Dividend Option,,,101.1822,,,2020-04-24,
,ICICI Prudential Floating Interest Fund Plan B - Growth,,,324.7401,,,2020-04-24,
,ICICI Prudential Floating Interest Fund Plan B - Fortnightly Dividend,,,101.397,,,2020-04-24,
,ICICI Prudential Floating Interest Fund Plan B - Dividend Daily,,,100.025,,,2020-04-24,
,ICICI Prudential Floating Interest Fund Plan A - Weekly Dividend Option,,,101.1821,,,2020-04-24,
,ICICI Prudential Money Market Fund - Direct Plan Bonus,,,151.2089,,,2020-04-24,
,ICICI Prudential Money Market Fund Dividend,,,100.0952,,,2020-04-24,
,ICICI Prudential Medium Term Bond Fund - Bonus,,,15.0013,,,2020-04-24,
,ICICI Prudential Money Market Fund Retail Growth (erstwhile Cash Option),,,306.6704,,,2020-04-24,
,ICICI Prudential Savings Fund Retail Weekly Dividend,,,100.956,,,2020-04-24,
,ICICI Prudential Savings Fund Retail Growth,,,220.0081,,,2020-04-24,
,ICICI Prudential Medium Term Bond Fund Plan B - Quarterly Dividend,,,10.6002,,,2020-04-24,
,ICICI Prudential All Seasons Bond Fund Retail - Quarterly Dividend,,,11.6831,,,2020-04-24,
,ICICI Prudential All Seasons Bond Fund Retail - Cumulative,,,49.3216,,,2020-04-24,
,ICICI Prudential Liquid Fund - Direct Plan Bonus,,,149.1904,,,2020-04-24,
,ICICI Prudential Regular Savings Fund - Plan - Bonus,,,18.3554,,,2020-04-24,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1125 Days Plan S - Direct Plan - Cumulative Option,,,12.779,,,2020-04-27,
,ICICI Prudential Capital Protection Oriented Fund - Series XI - Plan B 1222 Days - Cumulative Option,,,11.8841,,,2020-04-27,
,ICICI Prudential Capital Protection Oriented Fund - Series XI - Plan B 1222 Days - Direct Plan - Cumulative Option,,,12.2923,,,2020-04-27,
,ICICI Prudential Capital Protection Oriented Fund - Series XI - Plan B 1222 Days - Direct Plan - Dividend Option,,,12.2923,,,2020-04-27,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1125 Days Plan S - Dividend Option,,,12.6735,,,2020-04-27,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1125 Days Plan S - Cumulative Option,,,12.6735,,,2020-04-27,
,Nippon India Fixed Horizon Fund XXXII- Series 10- Direct Plan- Dividend Payout Option,,,10.5548,,,2020-04-27,
,Nippon India Fixed Horizon Fund XXXII- Series 10- Direct Plan- Growth Option,,,10.5549,,,2020-04-27,
,Nippon India Fixed Horizon Fund XXXII- Series 10- Dividend Payout Option,,,10.4302,,,2020-04-27,
,Nippon India Fixed Horizon Fund XXXII- Series 10- Growth Option,,,10.4302,,,2020-04-27,
,ICICI Prudential Capital Protection Oriented Fund - Series XI - Plan B 1222 Days - Dividend Option,,,11.8841,,,2020-04-27,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1125 Days Plan S - Direct Plan - Dividend Option,,,12.779,,,2020-04-27,
,UTI FTIF Series XXVI-XI (1105 Days)- Regular Plan - Quarterly Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-XII (1096 Days)- Regular Plan - Maturity Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-XII (1096 Days)- Regular Plan - Quarterly Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-XII (1096 Days)- Regular Plan - Growth Option,,,12.2293,,,2020-04-28,
,UTI FTIF Series XXVI-XII (1096 Days)- Regular Plan - Annual Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-XII (1096 Days)- Direct Plan - Annual Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-XII (1096 Days)- Direct Plan - Growth Option,,,12.3522,,,2020-04-28,
,UTI FTIF Series XXVI-IX (1113 Days)- Direct Plan - Annual Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-IX (1113 Days)- Direct Plan - Growth Option,,,12.3808,,,2020-04-28,
,UTI FTIF Series XXVI-IX (1113 Days)- Direct Plan - Maturity Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-IX (1113 Days)- Direct Plan - Quarterly Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-IX (1113 Days)- Regular Plan - Annual Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-IX (1113 Days)- Regular Plan - Flexi Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-IX (1113 Days)- Regular Plan - Growth Option,,,12.2577,,,2020-04-28,
,UTI FTIF Series XXVI-IX (1113 Days)- Regular Plan - Maturity Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-IX (1113 Days)- Regular Plan - Quarterly Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-XII (1096 Days)- Direct Plan - Quarterly Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-X (1107 Days)- Direct Plan - Flexi Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-X (1107 Days)- Direct Plan - Growth Option,,,12.3658,,,2020-04-28,
,UTI FTIF Series XXVI-X (1107 Days)- Direct Plan - Maturity Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-X (1107 Days)- Direct Plan - Quarterly Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-X (1107 Days)- Regular Plan - Annual Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-X (1107 Days)- Direct Plan - Annual Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-XI (1105 Days)- Direct Plan - Maturity Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-XII (1096 Days)- Direct Plan - Flexi Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-X (1107 Days)- Regular Plan - Growth Option,,,12.2428,,,2020-04-28,
,UTI FTIF Series XXVI-XI (1105 Days)- Regular Plan - Maturity Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-XI (1105 Days)- Regular Plan - Growth Option,,,12.2369,,,2020-04-28,
,UTI FTIF Series XXVI-XI (1105 Days)- Regular Plan - Flexi Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-XI (1105 Days)- Regular Plan - Annual Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-XI (1105 Days)- Direct Plan - Quarterly Div  Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-XI (1105 Days)- Direct Plan - Growth Option,,,12.3598,,,2020-04-28,
,UTI FTIF Series XXVI-XII (1096 Days)- Direct Plan  - Maturity Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-XI (1105 Days)- Direct Plan - Annual Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-X (1107 Days)- Regular Plan - Quarterly Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-X (1107 Days)- Regular Plan - Maturity Div Option,,,10.0,,,2020-04-28,
,UTI FTIF Series XXVI-XI (1105 Days)- Direct Plan - Flexi Div Option,,,10.0,,,2020-04-28,
,HSBC FTS 128 - IDCW - Tenure 1106 Days - Maturity: 29-Apr-2020,,,10.0,,,2020-04-29,
,HSBC Fixed Term Series 128 - Growth Option,,,12.1978,,,2020-04-29,
,HSBC Fixed Term Series 128 - Direct Plan Growth Option,,,12.3266,,,2020-04-29,
,Aditya Birla Sun Life Low Duration Fund -Institutional - weekly  IDCW,,,99.9054,,,2020-04-30,
,ICICI Prudential Fixed Maturity Plan - Series 81 - 1101 Days Plan C - Cumulative Option,,,12.4507,,,2020-05-04,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1194 Days Plan F - Direct Plan - Dividend Option,,,12.4675,,,2020-05-04,
,ICICI Prudential Fixed Maturity Plan - Series 81 - 1101 Days Plan C - Direct Plan - Cumulative Option,,,12.7188,,,2020-05-04,
,Axis Short Duration Fund - Regular Plan - Bonus Option,,,22.3737,,,2020-05-04,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1194 Days Plan F - Dividend Option,,,12.4446,,,2020-05-04,
,ICICI Prudential Fixed Maturity Plan - Series 81 - 1101 Days Plan C - Direct Plan - Dividend Option,,,12.7188,,,2020-05-04,
,ICICI Prudential Fixed Maturity Plan - Series 81 - 1101 Days Plan C - Dividend Option,,,12.4507,,,2020-05-04,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1194 Days Plan F - Cumulative Option,,,12.4446,,,2020-05-04,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1187 Days Plan G - Dividend Option,,,12.4204,,,2020-05-04,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1187 Days Plan G - Direct Plan - Dividend Option,,,12.4437,,,2020-05-04,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1187 Days Plan G - Direct Plan - Cumulative Option,,,12.4437,,,2020-05-04,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1187 Days Plan G - Cumulative Option,,,12.4204,,,2020-05-04,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1194 Days Plan F - Direct Plan - Cumulative Option,,,12.4675,,,2020-05-04,
,UTI FTIF Series XXVI-VI (1146 Days)- Regular Plan - Growth Option,,,12.4397,,,2020-05-05,
,UTI FTIF Series XXVI-VI (1146 Days)- Regular Plan - Maturity Div Option,,,10.0,,,2020-05-05,
,UTI FTIF Series XXVI-VI (1146 Days)- Regular Plan - Quarterly Div Option,,,10.0,,,2020-05-05,
,UTI FTIF Series XXVI-VI (1146 Days)- Regular Plan - Flexi Div Option,,,10.0,,,2020-05-05,
,UTI FTIF Series XXVI-VI (1146 Days)- Direct Plan - Quarterly Div Option,,,10.0,,,2020-05-05,
,UTI FTIF Series XXVI-VI (1146 Days)- Direct Plan - Growth Option,,,12.4583,,,2020-05-05,
,UTI FTIF Series XXVI-VI (1146 Days)- Direct Plan - Maturity Div Option,,,10.0,,,2020-05-05,
,UTI FTIF Series XXVI-VI (1146 Days)- Direct Plan - Annual Div Option,,,10.0,,,2020-05-05,
,Axis Liquid Fund - Direct plan - Bonus Option,,,2215.5705,,,2020-05-05,
,UTI FTIF Series XXVI-III (1169 Days)- Regular Plan - Growth Option,,,12.3666,,,2020-05-06,
,UTI FTIF Series XXVI-III (1169 Days)- Regular Plan - Maturity Div Option,,,10.0,,,2020-05-06,
,UTI FTIF Series XXVI-III (1169 Days)- Regular Plan - Quarterly Div Option,,,10.0,,,2020-05-06,
,JM Dynamic Bond Fund - Premium Plan - Daily Dividend Option,,,10.047,,,2020-05-06,
,UTI FTIF Series XXVI-III (1169 Days)- Regular Plan - Flexi Div Option,,,10.0,,,2020-05-06,
,UTI FTIF Series XXVI-III (1169 Days)- Direct Plan - Quarterly Div Option,,,10.0,,,2020-05-06,
,UTI FTIF Series XXVI-III (1169 Days)- Direct Plan - Growth Option,,,12.4915,,,2020-05-06,
,UTI FTIF Series XXVI-III (1169 Days)- Regular Plan - Annual Div Option,,,10.0,,,2020-05-06,
,Kotak FMP Series 203-Direct Plan-Dividend Payout Option,,,12.3184774,,,2020-05-07,
,Kotak FMP Series 203 - Direct Plan - Growth Option,,,12.31849,,,2020-05-07,
,Kotak FMP Series 203-Regular Plan-Growth option,,,12.18923917,,,2020-05-07,
,Kotak FMP Series 203 - Regular Plan - Dividend Payout Option,,,12.18924162,,,2020-05-07,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1150 Days Plan N - Direct Plan - Dividend Option,,,12.8746,,,2020-05-08,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1150 Days Plan N - Cumulative Option,,,12.7361,,,2020-05-08,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1150 Days Plan N -Direct Plan - Cumulative Option,,,12.8746,,,2020-05-08,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1150 Days Plan N - Dividend Option,,,12.7361,,,2020-05-08,
,Kotak FMP Series 200-Regular Plan-Dividend Payout,,,12.3123377,,,2020-05-11,
,Kotak FMP Series 200-Direct Plan-Dividend Payout Option,,,12.46957982,,,2020-05-11,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1138 Days Plan R - Direct Plan - Dividend Option,,,12.8313,,,2020-05-11,
,Kotak FMP Series 200-Direct Plan-Growth Option,,,12.46958857,,,2020-05-11,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1138 Days Plan R - Dividend Option,,,12.6803,,,2020-05-11,
,Kotak FMP Series 200-Regular Plan-Growth Option,,,12.31234551,,,2020-05-11,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1138 Days Plan R - Cumulative Option,,,12.6803,,,2020-05-11,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1138 Days Plan R - Direct Plan - Cumulative Option,,,12.8313,,,2020-05-11,
,UTI FTIF Series XXVI-V (1160 Days)- Regular Plan - Quarterly Div Option,,,10.0,,,2020-05-12,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1170 Days Plan I - Direct Plan - Cumulative Option,,,12.9292,,,2020-05-12,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1170 Days Plan I - Cumulative Option,,,12.7888,,,2020-05-12,
,UTI FTIF Series XXVI-V (1160 Days)- Regular Plan - Maturity Div Option,,,10.0,,,2020-05-12,
,UTI FTIF Series XXVI-V (1160 Days)- Regular Plan - Growth Option,,,12.666,,,2020-05-12,
,UTI FTIF Series XXVI-V (1160 Days)- Regular Plan - Annual Div Option,,,10.0,,,2020-05-12,
,UTI FTIF Series XXVI-V (1160 Days)- Direct Plan - Quarterly Div Option,,,10.0,,,2020-05-12,
,UTI FTIF Series XXVI-V (1160 Days)- Direct Plan - Maturity Div Option,,,10.0,,,2020-05-12,
,UTI FTIF Series XXVI-VII (1140 Days)- Direct Plan - Annual Div Option,,,10.0,,,2020-05-12,
,UTI FTIF Series XXVI-VII (1140 Days)- Direct Plan - Growth Option,,,12.724,,,2020-05-12,
,UTI FTIF Series XXVI-VII (1140 Days)- Direct Plan - Maturity Div Option,,,10.0,,,2020-05-12,
,UTI FTIF Series XXVI-VII (1140 Days)- Regular Plan - Annual Div Option,,,10.0,,,2020-05-12,
,UTI FTIF Series XXVI-V (1160 Days)- Direct Plan - Growth Option,,,12.7932,,,2020-05-12,
,UTI FTIF Series XXVI-V (1160 Days)- Direct Plan - Flexi Div Option,,,10.0,,,2020-05-12,
,UTI FTIF Series XXVI-V (1160 Days)- Direct Plan - Annual Div Option,,,10.0,,,2020-05-12,
,UTI FTIF Series XXVI-VII (1140 Days)- Regular Plan - Flexi Div Option,,,10.0,,,2020-05-12,
,UTI FTIF Series XXVI-VII (1140 Days)- Regular Plan - Growth Option,,,12.5974,,,2020-05-12,
,UTI FTIF Series XXVI-VII (1140 Days)- Regular Plan - Maturity Div Option,,,10.0,,,2020-05-12,
,UTI FTIF Series XXVI-VII (1140 Days)- Regular Plan - Quarterly Div Option,,,10.0,,,2020-05-12,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1170 Days Plan I - Direct Plan - Dividend Option,,,12.9292,,,2020-05-12,
,UTI FTIF Series XXVI-VII (1140 Days)- Direct Plan - Quarterly Div Option,,,10.0,,,2020-05-12,
,ICICI Prudential Fixed Maturity Plan - Series 80 - 1170 Days Plan I - Dividend Option,,,12.7888,,,2020-05-12,
,HDFC FMP 1170D February 2017 (1) - Direct Option - Growth Option,,,12.8951,,,2020-05-13,
,HDFC FMP 1170D February 2017 (1) - Regular Option - Growth Option,,,12.7436,,,2020-05-13,
,HDFC FMP 1170D February 2017 (1) - Regular Option - Dividend Option,,,10.0,,,2020-05-13,
,HDFC FMP 1170D February 2017 (1) - Direct Option - Quarterly Dividend Option,,,10.0,,,2020-05-13,
,HDFC FMP 1170D February 2017 (1) - Direct Option - Dividend Option,,,10.0,,,2020-05-13,
,HDFC FMP 1170D February 2017 (1) - Regular Option - Quarterly Dividend Option,,,10.0,,,2020-05-13,
,Kotak FMP Series 202-Regular Plan-Dividend Payout Option,,,12.301102,,,2020-05-14,
,ICICI Prudential Fixed Maturity Plan-Series 73-1140 Days Plan E - Dividend,,,15.1766,,,2020-05-14,
,ICICI Prudential Fixed Maturity Plan-Series 73-1140 Days Plan E - Direct Plan - Cumulative,,,16.8366,,,2020-05-14,
,ICICI Prudential Fixed Maturity Plan-Series 73-1140 Days Plan E - Cumulative,,,16.6082,,,2020-05-14,
,Kotak FMP Series 202-Direct Plan-Growth Option,,,12.42571187,,,2020-05-14,
,Kotak FMP Series 202-DirectPLan-Dividend Payout Option,,,12.42569613,,,2020-05-14,
,Kotak FMP Series 202-Regular Plan-Growth Option,,,12.30124559,,,2020-05-14,
,ICICI Prudential Fixed Maturity Plan - Series 81 - 1101 Days Plan E - Cumulative Option,,,12.448,,,2020-05-18,
,ICICI Prudential Fixed Maturity Plan - Series 81 - 1101 Days Plan E - Direct Plan - Cumulative Option,,,12.6656,,,2020-05-18,
,ICICI Prudential Fixed Maturity Plan - Series 81 - 1101 Days Plan E - Direct Plan - Dividend Option,,,12.6656,,,2020-05-18,
,ICICI Prudential Fixed Maturity Plan - Series 81 - 1101 Days Plan E - Dividend Option,,,12.448,,,2020-05-18,
,Franklin India Fixed Maturity Plans - Series 1 - Plan B (1104 days) - Quarterly Dividend - Direct,,,0.0,,,2020-05-21,
,Franklin India Fixed Maturity Plans - Series 1 - Plan B (1104 days) - Quarterly Dividend,,,0.0,,,2020-05-21,
,Franklin India Fixed Maturity Plans - Series 1 - Plan B (1104 days) - Growth,,,0.0,,,2020-05-21,
,Franklin India Fixed Maturity Plans - Series 1 - Plan B (1104 days) - Dividend,,,0.0,,,2020-05-21,
,Franklin India Fixed Maturity Plans - Series 1 - Plan B (1104 days) - Direct - Growth,,,0.0,,,2020-05-21,
,Franklin India Fixed Maturity Plans - Series 1 - Plan B (1104 days) - Direct - Dividend,,,0.0,,,2020-05-21,
,UTI FTIF Series XXVI-VIII (1154 Days)- Regular Plan - Maturity Div Option,,,10.0,,,2020-05-26,
,UTI FTIF Series XXVI-VIII (1154 Days)- Regular Plan - Annual Div Option,,,10.0,,,2020-05-26,
,UTI FTIF Series XXVI-VIII (1154 Days)- Direct Plan - Quarterly Div Option,,,10.0,,,2020-05-26,
,UTI FTIF Series XXVI-VIII (1154 Days)- Direct Plan - Maturity Div Option,,,10.0,,,2020-05-26,
,UTI FTIF Series XXVI-VIII (1154 Days)- Direct Plan - Growth Option,,,12.4509,,,2020-05-26,
,UTI FTIF Series XXVI-VIII (1154 Days)- Direct Plan - Flexi Div Option,,,10.0,,,2020-05-26,
,UTI FTIF Series XXVI-VIII (1154 Days)- Direct Plan - Annual Div Option,,,10.0,,,2020-05-26,
,UTI FTIF Series XXVI-VIII (1154 Days)- Regular Plan - Quarterly Div Option,,,10.0,,,2020-05-26,
,UTI FTIF Series XXVI-VIII (1154 Days)- Regular Plan - Growth Option,,,12.3269,,,2020-05-26,
,ICICI Prudential Fixed Maturity Plan - Series 81 - 1116 Days Plan I - Direct Plan - Dividend Option,,,12.5296,,,2020-06-01,
,ICICI Prudential Fixed Maturity Plan - Series 81 - 1116 Days Plan I - Cumulative Option,,,12.458,,,2020-06-01,
,ICICI Prudential Fixed Maturity Plan - Series 81 - 1116 Days Plan I - Direct Plan - Cumulative Option,,,12.5296,,,2020-06-01,
,UTI FTIF Series XXVI-XIII (1124 Days)- Direct Plan - Annual Div Option,,,10.0,,,2020-06-02,
,UTI FTIF Series XXVI-XIII (1124 Days)- Direct Plan - Growth Option,,,12.626,,,2020-06-02,
,UTI FTIF Series XXVI-XV (1097 Days) - Direct Plan - Annual Div Option,,,10.0,,,2020-06-02,
,UTI FTIF Series XXVI-XIII (1124 Days)- Direct Plan - Quarterly Div Option,,,10.0,,,2020-06-02,
,UTI FTIF Series XXVI-XIII (1124 Days)- Direct Plan - Maturity Div Option,,,10.0,,,2020-06-02,
,UTI FTIF Series XXVI-XIII (1124 Days)- Regular Plan - Growth Option,,,12.5003,,,2020-06-02,
,UTI FTIF Series XXVI-XIII (1124 Days)- Regular Plan - Maturity Div Option,,,10.0,,,2020-06-02,
,UTI FTIF Series XXVI-XIII (1124 Days)- Regular Plan - Quarterly Div Option,,,10.0,,,2020-06-02,
,UTI FTIF Series XXVI-XIV (1105 Days) - Direct Plan - Annual Div Option,,,10.0,,,2020-06-02,
,UTI FTIF Series XXVI-XV (1097 Days) - Regular Plan - Quarterly Div Option,,,10.0,,,2020-06-02,
